date,portfolio_value,benchmark_value,position,signal,prediction,actual,cash,position_size,pnl,cumulative_return,benchmark_return,price,consecutive_losses
2023-02-20,123219.39,113119.08,0,0,0.003915715688276645,-0.006382425446488815,123219.39,0.0,0.0,0.232193909064403,0.13119078659406136,9613.9,0.0
2023-02-21,123219.39,113561.13,0,0,0.00248615418102355,-0.002885570799059489,123219.39,0.0,0.0,0.232193909064403,0.13561134826542665,9651.47,0.0
2023-02-22,123219.39,113438.18,0,0,8.291966779036563e-05,-0.01593399868478651,123219.39,0.0,0.0,0.232193909064403,0.13438178027325834,9641.02,0.0
2023-02-23,123219.39,114266.4,0,0,-0.002019693905167915,-0.027499611281986858,123219.39,0.0,0.0,0.232193909064403,0.14266400907409407,9711.41,0.0
2023-02-24,123219.39,113778.69,0,0,0.0002186479165221198,-0.024149014060037333,123219.39,0.0,0.0,0.232193909064403,0.13778691880850732,9669.96,0.0
2023-02-27,123219.39,112397.1,1,1,0.0071743083271915975,-0.015771721447908282,0.0,123096.17,0.0,0.232193909064403,0.12397104573286968,9552.54,0.0
2023-02-28,119662.36,113233.45,0,0,0.0028921375931844867,-0.02692230158713671,119662.36,0.0,-3314.03,0.1966235712250897,0.1323344613197913,9623.62,1.0
2023-03-01,119662.36,111630.65,1,1,0.011334439141427356,-0.00643801252187115,0.0,119542.69,0.0,0.1966235712250897,0.11630654247833838,9487.4,1.0
2023-03-02,118735.32,111124.12,1,1,0.020180134158747257,-0.0077549010784224714,0.0,118615.65,-927.04,0.18735315349955345,0.1112411929986399,9444.35,1.0
2023-03-03,118446.83,111031.05,1,1,0.019449151781175004,-0.0024320612434350908,0.0,118327.17,-288.48,0.18446834817446725,0.11031048650887416,9436.44,1.0
2023-03-06,119699.09,110624.41,1,1,0.01582657382592586,0.010582989785021812,0.0,119579.43,1252.26,0.1969909007488485,0.1062440874840568,9401.88,1.0
2023-03-07,121034.51,110184.94,1,1,0.015339996705201557,0.011167672056152211,0.0,120914.85,1335.42,0.21034513908299182,0.10184941145463192,9364.53,1.0
2023-03-08,121215.25,110911.97,1,1,0.010042706773360738,0.0014947508677829457,0.0,121095.59,180.74,0.21215251487583156,0.10911974697961617,9426.32,1.0
2023-03-09,120367.81,110262.36,1,1,0.011035030639234509,-0.00699810374651455,0.0,120248.15,-847.44,0.20367811991602897,0.10262362747266714,9371.11,1.0
2023-03-10,119692.96,110761.01,1,1,0.009396245609022604,-0.005612158721154392,0.0,119573.3,-674.85,0.19692960289929062,0.10761014340645633,9413.49,1.0
2023-03-13,118775.27,111795.15,1,1,0.0053861024488530435,-0.007674674626212186,0.0,118655.61,-917.69,0.18775274134311637,0.11795145736164123,9501.38,1.0
2023-03-14,117925.44,111415.45,0,0,0.0033044573985293204,-0.005158879768003555,117925.44,0.0,-612.13,0.17925438260489462,0.11415450433702179,9469.11,2.0
2023-03-15,117925.44,111077.76,1,1,0.010450307656440882,0.001418370600429375,0.0,117807.51,0.0,0.17925438260489462,0.11077760468388922,9440.41,2.0
2023-03-16,119491.98,109490.74,1,1,0.007995329234398005,0.013297469354244251,0.0,119374.05,1566.54,0.19491980051942795,0.09490735293425533,9305.53,2.0
2023-03-17,118811.2,110139.41,0,0,0.00101840399842057,-0.003718754874122099,118811.2,0.0,-443.92,0.18811201634477723,0.10139405948049869,9360.66,3.0
2023-03-20,118811.2,110937.15,1,1,0.00549198053029408,-0.012146204152109541,11881.12,106823.15,0.0,0.18811201634477723,0.10937154367849085,9428.46,3.0
2023-03-21,116711.5,110840.67,0,0,0.004493833245156426,-0.01767254831607612,116711.5,0.0,-1887.84,0.16711498934713848,0.10840671520616743,9420.26,4.0
2023-03-22,116711.5,111235.31,1,1,0.0073892527926256515,-0.03096849943937874,23342.3,93275.83,0.0,0.16711498934713848,0.1123530989819883,9453.8,4.0
2023-03-23,114007.68,110946.68,1,1,0.007353891669319304,-0.02898739775189385,23342.3,90572.01,-2703.82,0.14007675351355095,0.10946684990563517,9429.27,4.0
2023-03-24,113693.11,109729.82,1,1,0.006211454095119202,-0.0034731418583829887,23342.3,90257.44,-314.57,0.13693105924850169,0.09729824495347653,9325.85,4.0
2023-03-27,113201.79,109589.69,1,1,0.006668911875962155,-0.0054434535760377045,23342.3,89766.12,-491.31,0.13201793756981875,0.09589689042843093,9313.94,4.0
2023-03-28,113172.45,108881.83,0,0,0.00020364663057711356,0.0017149748535192355,113172.45,0.0,153.95,0.13172451133096488,0.0888183439778231,9253.78,0.0
2023-03-29,113172.45,107790.52,0,0,-0.0005217694391173215,0.02049005406597293,113172.45,0.0,0.0,0.13172451133096488,0.07790519265977332,9161.03,0.0
2023-03-30,113172.45,107730.63,1,1,0.0055214467145997086,0.021240855663099634,0.0,113059.28,0.0,0.13172451133096488,0.07730629303487978,9155.94,0.0
2023-03-31,113864.4,109348.72,0,0,0.003041860092977909,0.008129372698650661,113864.4,0.0,919.1,0.13864401315714261,0.09348717248779838,9293.46,0.0
2023-04-03,113864.4,108993.14,0,0,0.0018314067525378027,0.023385985896943406,113864.4,0.0,0.0,0.13864401315714261,0.08993142658125973,9263.24,0.0
2023-04-04,113864.4,109068.56,0,0,0.003993220426884275,0.0251606047693278,113864.4,0.0,0.0,0.13864401315714261,0.09068564005779553,9269.65,0.0
2023-04-05,113864.4,109999.15,1,1,0.008004307012304717,0.01282204874667614,0.0,113750.54,0.0,0.13864401315714261,0.099991528335365,9348.74,0.0
2023-04-06,114176.93,110018.92,1,1,0.013128027524167273,0.0027474701671155177,0.0,114063.06,312.53,0.14176927522379948,0.10018920051018257,9350.42,0.0
2023-04-07,115300.15,110237.65,1,1,0.009013144805202301,0.009847358472239831,0.0,115186.28,1123.22,0.1530014739337479,0.10237653725414522,9369.01,0.0
2023-04-10,114863.33,111542.05,1,1,0.011122486955944137,-0.003792246096201768,0.0,114749.47,-436.81,0.1486333266136216,0.1154205475519244,9479.87,0.0
2023-04-11,115216.53,111812.8,1,1,0.012321982706493106,0.0030780142441029223,0.0,115102.67,353.2,0.1521653315916982,0.11812795037487114,9502.88,0.0
